lambda,regularizer,val_acc,val_recall,val_pre,val_f1,train_acc
7.958791,,,,,,
8.654501,,,,,,
4.900891,,,,,,
6.519941,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.9700374531835206
6.528771,,,,,,
7.429671,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
7.149001,l2,0.8727272727272727,0.8727272727272727,0.8728458049886622,0.871286922373879,0.968789013732834
8.661971,,,,,,
4.775371,l1,0.8757575757575757,0.8757575757575758,0.875973700973701,0.8745320188852292,0.9725343320848939
1.195771,l2,0.8787878787878788,0.8787878787878788,0.8784802902449962,0.8779481563026034,0.9937578027465668
4.462261,,,,,,
0.478781,l1,0.8757575757575757,0.8757575757575758,0.8752376436586963,0.8752471650556465,0.9987515605493134
2.197481,l2,0.8757575757575757,0.8757575757575756,0.8755646063919263,0.8747862558113023,0.982521847690387
8.563751,l1,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9662921348314607
9.355661,,,,,,
9.876421,l2,0.8757575757575757,0.8757575757575758,0.8756967433438022,0.8744769089517423,0.9637952559300874
3.511821,,,,,,
4.152781,,,,,,
