,Criterion,Max Depth,Min Sample Leaf,Max Features,Boot Size,T Acc,V Acc,V Pred,V Rec,V F1
0,entropy,14,10,0.33,537,0.8352059925093633,0.7909090909090909,0.7895244831720519,0.790909091,0.7900075004188647
0,entropy,11,3,0.33,745,0.8863920099875156,0.7909090909090909,0.7914581247914582,0.7909090909090909,0.7911494873178629
0,entropy,6,12,sqrt,513,0.7902621722846442,0.7909090909090909,0.7898858978619696,0.7909090909090909,0.7896612600684101
0,gini,13,11,0.33,665,0.8227215980024969,0.7909090909090909,0.7926116308299028,0.7909090909090909,0.7915423642820903
0,gini,13,7,0.33,777,0.8526841448189763,0.7909090909090909,0.7899150016725968,0.790909091,0.788906942
0,entropy,12,5,0.33,642,0.8589263420724095,0.7878787878787878,0.7848721200303621,0.787878788,0.7853386353504361
0,gini,8,14,0.33,798,0.8252184769038702,0.7878787878787878,0.7939075492203097,0.787878788,0.7897289924687185
0,entropy,5,7,0.33,486,0.8014981273408239,0.7878787878787878,0.7854271540661052,0.787878788,0.7812927812927812
0,gini,3,9,log2,757,0.7752808988764045,0.7878787878787878,0.7881361294404773,0.787878788,0.7876513346771731
0,gini,3,9,log2,757,0.7752808988764045,0.7878787878787878,0.7881361294404773,0.787878788,0.7876513346771731
0,entropy,13,4,0.33,641,0.850187266,0.7878787878787878,0.7857242146232973,0.787878788,0.7856055664274842
0,entropy,13,3,sqrt,669,0.885143571,0.7878787878787878,0.7883731211317418,0.7878787878787877,0.7877126237146087
0,entropy,13,3,sqrt,669,0.885143571,0.7878787878787878,0.7883731211317418,0.7878787878787877,0.7877126237146087
0,gini,4,1,0.33,717,0.8002496878901373,0.7878787878787878,0.7869062300745165,0.787878788,0.786190943
0,entropy,12,7,0.33,758,0.8489388264669163,0.7878787878787878,0.7896642693067718,0.787878788,0.7886002886002886
0,entropy,5,9,log2,742,0.8077403245942572,0.7878787878787878,0.7923545802856147,0.787878788,0.7890426074124258
0,entropy,8,1,log2,501,0.8714107365792759,0.7878787878787878,0.7849426807760141,0.787878788,0.7840192051143857
0,gini,12,8,0.33,622,0.8252184769038702,0.7878787878787878,0.7882425875308341,0.7878787878787877,0.7879839187952133
0,gini,14,8,0.33,695,0.8339575530586767,0.7878787878787878,0.7911465924718167,0.787878788,0.7858715133505153
0,entropy,5,3,log2,741,0.832709114,0.7878787878787878,0.7891788009969828,0.7878787878787877,0.7825723787557523
0,entropy,11,5,0.33,522,0.8114856429463171,0.7878787878787878,0.7889329805996473,0.7878787878787877,0.7883626746012068
0,entropy,11,5,0.33,522,0.8114856429463171,0.7878787878787878,0.7889329805996473,0.7878787878787877,0.7883626746012068
0,gini,13,10,sqrt,687,0.797752809,0.7878787878787878,0.7872363351335313,0.787878788,0.7874836072179526
0,gini,13,10,sqrt,687,0.797752809,0.7878787878787878,0.7872363351335313,0.787878788,0.7874836072179526
